사업코드,사업구분,사업명,X좌표,Y좌표
ME2009E004,도로의 건설,함양~울산(합천~창녕간) 고속도로 건설사업,1069288.616,1722855.702
DG2012E002,도로의 건설,구미국가 제5산업단지 진입도로 개설공사(2공구),1084219.054,1797210.024
WJ2011E001,도로의 건설,백복령~달방댐 도로건설공사,1128747.81,1949160.242
ME2011E006,도로의 건설,서울-문산 고속도로 민간투자사업,939799.6201,1967699.367
ND2014E002,도로의 건설,한내-덕곡간 도로 확포장공사,1083496.986,1671713.927
ME2013E003,도로의 건설,수도권 제2순환고속도로(화도-양평) 건설사업,988452.6445,1952487.825
WJ2016E001,도로의 건설,단양~영월 도로건설공사,1079620.007,1904814.148
ME2015E002,도로의 건설,이천~오산 고속도로 민간투자사업,974692.551,1917270.816
ME2014E001,도로의 건설,동해고속도로(포항~영덕간) 건설사업,1167781.833,1806666.305
HG2007A003,도시의 개발,광교지구 택지개발사업,960965.5446,1921505.91
ME2007A160,도시의 개발,행정중심 복합도시건설사업,980601.5254,1834385.638
ME2007A163,도시의 개발,울산혁신도시 개발사업(울산우정택지개발사업),1165006.801,1732015.798
ME2007A168,도시의 개발,김포한강신도시 택지개발사업 (구. 김포양촌지구 택지개발사업),925908.1592,1961055.135
ME2007A195,도시의 개발,시흥장현 공공주택지구(구.시흥 장현지구 택지개발사업),937931.2774,1931028.164
ME2007A123,도시의 개발,태안 관광·레저형 기업도시,895733.5316,1855706.588
ME2007A204,도시의 개발,인천서창2지구 택지개발사업,933652.3918,1936582.275
ME2008A077,도시의 개발,육군학생중앙군사학교 이전사업,1027139.82,1870626.663
GG2008A004,도시의 개발,경호안전교육원건립사업,960386.3547,1836768.322
ME2007A205,도시의 개발,동해고속도로(주문진~속초간) 건설사업 5공구,1094887.639,2016458.206
ME2007B007,도시의 개발,"인천 경제자유구역 송도지구 개발사업(5,7공구)(재협의)",924519.1412,1931985.742
GG2008A002,도시의 개발,청주 율량2지구 택지개발사업,1000010.23,1852163.774
ME2007A164,도시의 개발,위례지구 택지개발사업(송파거여지구 택지개발사업),968697.2561,1941929.295
ME2007A198,도시의 개발,아산탕정 택지개발사업,962850.722,1867680.102
JJ2007A003,도시의 개발,군산 신역세권 택지개발사업,932962.52,1778184.689
GG2009A004,도시의 개발,서천 마서지구 도시개발사업(국립생태원),929815.673,1782151.972
ME2009A013,도시의 개발,하남미사 보금자리주택지구 개발사업,972546.374,1951726.126
WJ2007A004,도시의 개발,춘천우두지구 택지개발사업,1020494.471,1989905.071
YS2008A008,도시의 개발,광양만권 경제자유구역 하동지구(갈사만 매립지 및 매립배후지) 조성사업,1027427.872,1660712.66
ME2009A042,도시의 개발,부천옥길 보금자리주택지구 조성사업,939891.27,1940816.03
